TARİHİ,AÇIKLAMA,TUTAR,TAKSİT BİLGİSİ,MAXIMIL,MAXIPUAN
2024-09-25 00:00:00,"GLORIA JEANS ISTANBUL TU KAZANILAN MAXİMİL:0,72",48,,0.72,
2024-09-25 00:00:00,CANAKKALE / BURDA AVM CANAKKALE TR,1266.32,"3/3 taksidi (3.798,96)",,
2024-09-25 00:00:00,BOYNER CANAKKALE CANAKKALE TR,80.82,"3/6 taksidi (484,91)",,
2024-09-26 00:00:00,"SPEET CORNER İSTANBUL TR KAZANILAN MAXİMİL:1,50",100,,1.5,
2024-09-26 00:00:00,"DR DÜRÜM İSTANBUL TR KAZANILAN MAXİMİL:4,36",290,,4.36,
2024-09-26 00:00:00,"EROL TEKNİK YAPI MAL KOCAELİ TR KAZANILAN MAXİMİL:1,80",120,,1.8,
2024-09-26 00:00:00,"DAĞLAYAN TİCARET İSTANBUL TR KAZANILAN MAXİMİL:1,28",85,,1.28,
2024-09-26 00:00:00,"KURTKÖY TEKEL 67 İSTANBUL TR KAZANILAN MAXİMİL:1,18",79,,1.18,
2024-09-26 00:00:00,"SBXISTSABANCIUNIVERSISTANBULTRKAZANILANMAXİMİL:2,56 MAXİPUAN:0,02",170,,2.56,0.02
2024-09-26 00:00:00,"KUCUK EV SABANCI UNIVER ISTANBUL TR KAZANILAN MAXİMİL:3,28",218,,3.28,
2024-09-26 00:00:00,"BENUSEN TEKEL İSTANBUL TR KAZANILAN MAXİMİL:2,44",162,,2.44,
2024-09-26 00:00:00,"PARAM/ /YEMEKSEPETI ISTANBUL TR KAZANILAN MAXİMİL:3,98",265,,3.98,
2024-09-27 00:00:00,"BAŞARAN EKMEK FIRINI İSTANBUL TR KAZANILAN MAXİMİL:0,48",32.5,,0.48,
2024-09-27 00:00:00,"PAYTR /MATIK ISTANBUL TR KAZANILAN MAXİMİL:0,56",37,,0.56,
2024-09-27 00:00:00,"7036 ISTANBUL SABANCI U ISTANBUL TR KAZANILAN MAXİMİL:0,40",27,,0.4,
2024-09-27 00:00:00,"ÖZURFA KEBAP İSTANBUL TR KAZANILAN MAXİMİL:3,60",240,,3.6,
2024-09-27 00:00:00,"ATLI PETROL-MAXİPUAN İLAVE:0,01",,,0,0.01
2024-09-27 00:00:00,"PARAM./YEMEKSEPET-MAXİPUAN İLAVE:0,11",,,0,0.11
2024-09-27 00:00:00,"BENUSEN TEKEL İSTANBUL TR KAZANILAN MAXİMİL:3,40",227,,3.4,
2024-09-28 00:00:00,"PARAM/ /YEMEKSEPETI ISTANBUL TR KAZANILAN MAXİMİL:2,26",150,,2.26,
2024-09-28 00:00:00,"SBXIST VIAPORT ISTANBULTRKAZANILANMAXİMİL:2,26 MAXİPUAN:0,02",150,,2.26,0.02
2024-09-28 00:00:00,"PARAM/ /YEMEKSEPE-MAXİPUAN İLAVE:0,03",,,0,0.03
2024-09-28 00:00:00,"TIKINTI CAFE İSTANBUL TR KAZANILAN MAXİMİL:5,10",340,,5.1,
2024-09-28 00:00:00,"TURUNCU BÜFE İSTANBUL TR KAZANILAN MAXİMİL:1,20",80,,1.2,
2024-09-28 00:00:00,"BESIKTAS OT CAFE ISTANBUL TR KAZANILAN MAXİMİL:3,60",240,,3.6,
2024-09-29 00:00:00,"PARAM/ /YEMEKSEPETIPAY ISTANBUL TR KAZANILAN MAXİMİL:2,86",190,,2.86,
2024-09-29 00:00:00,"MELBAR GIDA İSTANBUL TR KAZANILAN MAXİMİL:1,42",94,,1.42,
2024-09-29 00:00:00,"TARANTULA PUB ISTANBUL TR KAZANILAN MAXİMİL:2,60",173,,2.6,
2024-09-29 00:00:00,"İMPARATOR TEKEL İSTANBUL TR KAZANILAN MAXİMİL:1,80",120,,1.8,
2024-09-30 00:00:00,"PARAM/ /YEMEKSEPETI ISTANBUL TR KAZANILAN MAXİMİL:3,26",217.98,,3.26,
2024-09-30 00:00:00,"KURTKÖY TEKEL 67 İSTANBUL TR KAZANILAN MAXİMİL:1,18",79,,1.18,
2024-09-30 00:00:00,"ŞOK-7036-SABANCI ÜNİ İSTANBUL TR KAZANILAN MAXİMİL:0,04",3.25,,0.04,
2024-09-30 00:00:00,"PARAM/ /YEMEKSEPE-MAXİPUAN İLAVE:0,02",,,0,0.02
2024-09-30 00:00:00,"SELF GIDA SANAYI VE TICISTANBUL TR KAZANILAN MAXİMİL:3,76",250,,3.76,
2024-09-30 00:00:00,"KURTKÖY TEKEL 67 İSTANBUL TR KAZANILAN MAXİMİL:1,18",79,,1.18,
2024-09-30 00:00:00,"PARAM/ /YEMEKSEPETI ISTANBUL TR KAZANILAN MAXİMİL:3,64",242.99,,3.64,
2024-10-01 00:00:00,"BENUSEN TEKEL İSTANBUL TR KAZANILAN MAXİMİL:9,88",659,,9.88,
2024-10-01 00:00:00,"MOPAS KURTKOY1 ISTANBULTRKAZANILANMAXİMİL:9,38 MAXİPUAN:0,63",625.46,,9.38,0.63
2024-10-01 00:00:00,"BAŞARAN EKMEK FIRINI İSTANBUL TR KAZANILAN MAXİMİL:0,18",12.5,,0.18,
2024-10-01 00:00:00,"PARAM/ /YEMEKSEPE-MAXİPUAN İLAVE:0,02",,,0,0.02
2024-10-01 00:00:00,"ALI AKGUN ISTANBUL TR KAZANILAN MAXİMİL:2,32",155,,2.32,
2024-10-01 00:00:00,"FİKRET CAN İSTANBUL TR KAZANILAN MAXİMİL:1,20",80,,1.2,
2024-10-02 00:00:00,"PARAM/ /YEMEKSEPETI ISTANBUL TR KAZANILAN MAXİMİL:4,20",280,,4.2,
2024-10-02 00:00:00,"KÖPÜKLÜ KAHVE GIDA İSTANBUL TR KAZANILAN MAXİMİL:3,00",200,,3,
2024-10-02 00:00:00,"KÖPÜKLÜ KAHVE GIDA İSTANBUL TR KAZANILAN MAXİMİL:0,60",40,,0.6,
2024-10-02 00:00:00,"KUCUK EV SABANCI UNIVER ISTANBUL TR KAZANILAN MAXİMİL:2,46",164,,2.46,
2024-10-02 00:00:00,"KUCUK EV SABANCI UNIVER ISTANBUL TR KAZANILAN MAXİMİL:0,22",15,,0.22,
2024-10-02 00:00:00,"KURTKÖY TEKEL 67 İSTANBUL TR KAZANILAN MAXİMİL:1,18",79,,1.18,
2024-10-02 00:00:00,"MIGROS ONE ISTANBUL TR KAZANILAN MAXİMİL:3,88",259,,3.88,
2024-10-02 00:00:00,"PARAM/ /YEMEKSEPE-MAXİPUAN İLAVE:0,02",,,0,0.02
2024-10-02 00:00:00,"PARAM/ /YEMEKSEPE-MAXİPUAN İLAVE:0,02",,,0,0.02
2024-10-03 00:00:00,"BAŞARAN EKMEK FIRINI İSTANBUL TR KAZANILAN MAXİMİL:0,52",35,,0.52,
2024-10-03 00:00:00,"ÖZURFA KEBAP İSTANBUL TR KAZANILAN MAXİMİL:4,06",270,,4.06,
2024-10-03 00:00:00,"OZ-TEM AKTAS GIDA VE TE ISTANBUL TR KAZANILAN MAXİMİL:1,34",89,,1.34,
2024-10-03 00:00:00,"ATG OTOMOTIV RESTAURANTISTANBUL TU KAZANILAN MAXİMİL:3,00",200,,3,
2024-10-04 00:00:00,"SABANCI ÜNİVERSİTESİ İSTANBUL TR KAZANILAN MAXİMİL:4,50",300,,4.5,
2024-10-04 00:00:00,"PARAM/ /YEMEKSEPE-MAXİPUAN İLAVE:0,03",,,0,0.03
2024-10-04 00:00:00,"PAYTR /MATIK ISTANBUL TR KAZANILAN MAXİMİL:0,16",11,,0.16,
2024-10-04 00:00:00,"7036 ISTANBUL SABANCI U ISTANBUL TR KAZANILAN MAXİMİL:0,30",20,,0.3,
2024-10-04 00:00:00,"KURTKÖY TEKEL 67 İSTANBUL TR KAZANILAN MAXİMİL:1,18",79,,1.18,
2024-10-04 00:00:00,"MIGROS ONE ISTANBUL TR KAZANILAN MAXİMİL:3,96",264,,3.96,
2024-10-05 00:00:00,"BAŞARAN EKMEK FIRINI İSTANBUL TR KAZANILAN MAXİMİL:0,38",25,,0.38,
2024-10-05 00:00:00,"MOPAS KURTKOY1 ISTANBULTRKAZANILANMAXİMİL:0,32 MAXİPUAN:0,02",21,,0.32,0.02
2024-10-06 00:00:00,"SABANCI ÜNİVERSİTESİ İSTANBUL TR KAZANILAN MAXİMİL:7,50",500,,7.5,
2024-10-06 00:00:00,"PARAM/ /YEMEKSEPETI ISTANBUL TR KAZANILAN MAXİMİL:3,84",256,,3.84,
2024-10-06 00:00:00,"KÖPÜKLÜ KAHVE GIDA İSTANBUL TR KAZANILAN MAXİMİL:0,60",40,,0.6,
2024-10-06 00:00:00,"SELF GIDA SANAYI VE TICISTANBUL TR KAZANILAN MAXİMİL:1,50",100,,1.5,
2024-10-07 00:00:00,"KÖPÜKLÜ KAHVE GIDA İSTANBUL TR KAZANILAN MAXİMİL:2,86",190,,2.86,
2024-10-07 00:00:00,"KUCUK EV SABANCI UNIVER ISTANBUL TR KAZANILAN MAXİMİL:3,36",224,,3.36,
2024-10-07 00:00:00,"ATLI OTOMOTİV İSTANBUL TR KAZANILAN MAXİMİL:6,94",462,,6.94,
2024-10-08 00:00:00,"PARAM/ /YEMEKSEPE-MAXİPUAN İLAVE:0,03",,,0,0.03
2024-10-08 00:00:00,"ŞOK-7036-SABANCI ÜNİ İSTANBUL TR KAZANILAN MAXİMİL:0,26",16.75,,0.26,
2024-10-08 00:00:00,"MIGROS ONE ISTANBUL TR KAZANILAN MAXİMİL:3,66",244,,3.66,
2024-10-09 00:00:00,"KÖPÜKLÜ KAHVE GIDA İSTANBUL TR KAZANILAN MAXİMİL:2,70",180,,2.7,
2024-10-09 00:00:00,"SBXISTSABANCIUNIVERSISTANBULTRKAZANILANMAXİMİL:2,14 MAXİPUAN:0,02",143,,2.14,0.02
2024-10-09 00:00:00,"SELF GIDA SANAYI VE TICISTANBUL TR KAZANILAN MAXİMİL:7,20",480,,7.2,
2024-10-09 00:00:00,"7036 İSTANBUL SABANCI ÜİSTANBUL TR KAZANILAN MAXİMİL:0,20",13,,0.2,
2024-10-09 00:00:00,"KUCUK EV SABANCI UNIVER ISTANBUL TR KAZANILAN MAXİMİL:2,54",169,,2.54,
2024-10-10 00:00:00,"KUCUK EV SABANCI UNIVER ISTANBUL TR KAZANILAN MAXİMİL:3,58",238,,3.58,
2024-10-10 00:00:00,FAIZ TUTARI FZ:159.71 VR/FN:47.92,207.63,,,
2024-10-10 00:00:00,GECIKME FAIZI TUTARI FZ:17.14 VR/FN:5.14,22.28,,,
